,category,lat,long,name
0,police,42.16724517340408,-71.35879082837904,Millis Police Station
1,police,41.90084023770307,-71.08901583982912,Taunton Police Department
2,police,42.0850850729972,-71.01636127969894,Brockton Police Station
3,police,41.94388431068314,-70.95607348025773,Bridgewater Correctional Complex
4,police,42.07482152251891,-71.25864413985632,Foxborough Public Safety Building
5,police,42.58433295,-71.79915478333334,Fitchburg Police Station
6,police,42.14553597158129,-71.2525811208931,Walpole Police Department
7,police,42.21123955321018,-70.9937310992781,Braintree Police Station
8,police,41.6346611515775,-70.91921344443693,MEP New Bedford State Pier
9,police,42.62021394278514,-71.36635460260564,Chelmsford Police Department
10,police,42.42654886538535,-71.07302077457523,Malden Police Department
11,police,42.781039363226036,-70.92542515901134,State Police Newbury Barracks
12,police,42.243928,-71.902832,Leicester Police Department
13,police,42.32317509556182,-71.76926136016846,Worcester County Sheriff's Office
14,police,42.37580935670879,-72.51714647436565,Amherst Police Station
15,police,42.31643297351961,-73.25688298982071,Massachusetts State Police
16,police,42.527931909674145,-71.76070310768031,Leominster Police Department
17,police,42.33766642845763,-71.08490147210796,NUPD
18,police,42.259625706052596,-71.20792539129066,Norfolk County House Of Corrections
19,police,42.550052819283074,-71.17132334794474,wilmington police dept
20,police,42.39187043289247,-71.15175908664115,"""Bo"" Ahern Reporting Station"
21,police,42.24653938388754,-71.17404439748258,Dedham Police Central Dispatch
22,police,42.66583710047469,-71.58573335630118,Pepperell Police Department
23,police,42.54396862309692,-71.91200733502353,Westminster Police Department
24,police,42.128962,-71.645716,Northbridge Police Department
25,police,42.12545712934111,-71.1042307929299,Stoughton Police Department
26,police,42.62105941772461,-71.36742401123047,Chelmsford Dog Pound
27,police,42.00734326408101,-71.33728482809876,Plainville Police Dept.
28,police,42.252276793633676,-71.07831491512982,Milton Police Station
29,police,42.57522342138308,-71.60572061458346,EVOC
30,police,42.52503841118895,-71.1015037633849,Reading Police Department
31,police,42.33444038618351,-71.090067422332,Boston Police Headquarters
32,police,42.429981,-71.046816,Malden Police Department (New)
33,police,42.17523956298828,-71.60608673095703,upton police department
34,police,42.078022,-71.465996,Bellimgham Police Department
35,police,42.3878985893051,-71.04162771305585,Chelsea Police Station
36,police,42.57486678123331,-71.99550859472699,Gardner Police Department
37,police,42.38580510874672,-71.22109020730946,Bentley Police Department
38,police,42.12163562301551,-72.75168372909961,Westfield Police Department
39,police,41.83117,-69.973425,Eastham Police Department
40,police,42.25648157906403,-71.12404719922058,Boston Police E-18
41,police,42.33349768253935,-71.06716104878183,Suffolk County Sheriff Dept.
42,police,42.050506797830614,-72.5806467502071,Longmeadow Police Department
43,police,41.60278711666667,-70.95912828333333,Dartmouth Police Station
44,police,42.357856543330165,-72.04931925304349,Oakham Police Department
45,police,42.504109321548334,-71.06949978796159,Wakefield Police Station
46,police,42.022009345804086,-70.07286726103528,Truro Police Station
47,police,42.22860690748619,-71.52347454387777,Hopkinton Police Department
48,police,41.82994451501671,-71.3264305670325,Seekonk Police Det. Office
49,police,42.10020064487665,-72.31474909006313,Monson Police Dept.
50,police,42.412776943256446,-71.04507294283144,Everett Police Department
51,police,42.26580381,-72.670922,Easthampton Police Dept
52,police,42.33278867351507,-71.32069161671556,Weston State Police Barracks
53,police,42.56221491962472,-71.27214079616068,Billerica Police Department
54,police,42.10856605111513,-72.58528461483158,Springfield Police Department
55,police,42.46538841259842,-70.94893017278143,Lynn Police Station
